ChemicalName,Data,Measurement,Date
.alpha.-Endosulfan,,,1991-08-12
.alpha.-Endosulfan,,,2001-02-13
.alpha.-Endosulfan,,,2001-02-13
.alpha.-Endosulfan,,,2001-02-13
.alpha.-Endosulfan,,,2001-02-13
.alpha.-Endosulfan,,,2001-02-13
.alpha.-Endosulfan,,,2001-02-13
.alpha.-Endosulfan,,,2001-03-01
.alpha.-HCH-d6,111,%,2000-10-03
.alpha.-HCH-d6,59.0,%,2001-01-24
.alpha.-HCH-d6,92.0,%,2001-04-10
.alpha.-HCH-d6,89.8,%,2001-05-08
.alpha.-HCH-d6,90.6,%,2001-08-28
.alpha.-HCH-d6,111,%,2000-10-03
.alpha.-HCH-d6,91.8,%,2001-01-23
.alpha.-HCH-d6,83.5,%,2001-04-10
.alpha.-HCH-d6,99.0,%,2001-05-08
.alpha.-HCH-d6,89.8,%,2001-08-28
.alpha.-HCH-d6,110,%,2000-10-04
.alpha.-HCH-d6,87.9,%,2001-01-23
.alpha.-HCH-d6,82.8,%,2001-04-11
.alpha.-HCH-d6,91.8,%,2001-05-09
.alpha.-HCH-d6,101,%,2001-08-29
.alpha.-HCH-d6,91.9,%,1996-06-27
.alpha.-HCH-d6,107,%,1996-07-25
.alpha.-HCH-d6,86.7,%,1996-09-24
.alpha.-HCH-d6,89.2,%,1997-06-10
.alpha.-HCH-d6,120,%,1997-09-10
.alpha.-HCH-d6,100,%,1998-05-19
.alpha.-HCH-d6,91.2,%,1998-07-29
.alpha.-HCH-d6,88.8,%,2003-06-11
.alpha.-HCH-d6,85,%,2001-02-13
.alpha.-HCH-d6,100,%,2001-02-13
.alpha.-HCH-d6,83,%,2001-02-13
.alpha.-HCH-d6,21,%,2001-02-13
.alpha.-HCH-d6,100,%,2001-02-13
.alpha.-HCH-d6,89,%,2001-02-13
.alpha.-HCH-d6,49,%,2001-03-01
.alpha.-Hexachlorocyclohexane,,,2000-10-03
.alpha.-Hexachlorocyclohexane,,,2001-01-24
.alpha.-Hexachlorocyclohexane,,,2001-04-10
.alpha.-Hexachlorocyclohexane,,,2001-05-08
.alpha.-Hexachlorocyclohexane,,,2001-08-28
.alpha.-Hexachlorocyclohexane,,,2000-10-03
.alpha.-Hexachlorocyclohexane,,,2001-01-23
.alpha.-Hexachlorocyclohexane,,,2001-04-10
.alpha.-Hexachlorocyclohexane,,,2001-05-08
.alpha.-Hexachlorocyclohexane,,,2001-08-28
.alpha.-Hexachlorocyclohexane,,,2000-10-04
.alpha.-Hexachlorocyclohexane,,,2001-01-23
.alpha.-Hexachlorocyclohexane,,,2001-04-11
.alpha.-Hexachlorocyclohexane,,,2001-05-09
.alpha.-Hexachlorocyclohexane,,,2001-08-29
.alpha.-Hexachlorocyclohexane,,,1996-06-27
.alpha.-Hexachlorocyclohexane,,,1996-07-25
.alpha.-Hexachlorocyclohexane,,,1996-09-24
.alpha.-Hexachlorocyclohexane,,,2003-06-11
.alpha.-Hexachlorocyclohexane,,,2001-02-13
.alpha.-Hexachlorocyclohexane,,,2001-02-13
.alpha.-Hexachlorocyclohexane,,,2001-02-13
.alpha.-Hexachlorocyclohexane,,,2001-02-13
.alpha.-Hexachlorocyclohexane,,,2001-02-13
.alpha.-Hexachlorocyclohexane,,,2001-02-13
.alpha.-Hexachlorocyclohexane,,,2001-03-01
.alpha.-Hexachlorocyclohexane,,,2008-08-12
.alpha.-Hexachlorocyclohexane,,,2008-08-12
.beta.-Endosulfan,,,2008-08-12
.beta.-Endosulfan,,,2008-08-12
.beta.-Hexachlorocyclohexane,,,2001-02-13
.beta.-Hexachlorocyclohexane,,,2001-02-13
.beta.-Hexachlorocyclohexane,,,2001-02-13
.beta.-Hexachlorocyclohexane,,,2001-02-13
.beta.-Hexachlorocyclohexane,,,2001-02-13
.beta.-Hexachlorocyclohexane,,,2001-02-13
.beta.-Hexachlorocyclohexane,,,2001-03-01
"1,1,1,2-Tetrachloroethane",,,2003-06-11
"1,1,1-Trichloroethane",,,2003-06-11
"1,1,2,2-Tetrachloroethane",,,2003-06-11
"1,1,2-Trichloroethane",,,2003-06-11
"1,1-Dichloroethane",40,ug/l,1983-05-18
"1,1-Dichloroethane",,,2003-06-11
"1,1-Dichloroethylene",,,2003-06-11
"1,1-Dichloropropene",,,2003-06-11
"1,2,3,4-Tetramethylbenzene",,,2003-06-11
"1,2,3,5-Tetramethylbenzene",,,2003-06-11
"1,2,3-Trichlorobenzene",,,2003-06-11
"1,2,3-Trichloropropane",,,2003-06-11
"1,2,3-Trimethylbenzene",,,2003-06-11
"1,2,4-Trichlorobenzene",,,2003-06-11
"1,2,4-Trichlorobenzene",,,2005-06-22
"1,2,4-Trichlorobenzene",,,2005-06-22
"1,2,4-Trichlorobenzene",,,2005-06-22
"1,2,4-Trichlorobenzene",,,2005-06-21
"1,2,4-Trichlorobenzene",,,2005-06-22
"1,2,4-Trichlorobenzene",,,2005-06-21
"1,2,4-Trichlorobenzene",,,2004-08-12
"1,2,4-Trichlorobenzene",,,2001-02-13
"1,2,4-Trichlorobenzene",,,2001-02-13
"1,2,4-Trichlorobenzene",,,2001-02-13
"1,2,4-Trichlorobenzene",,,2001-02-13
"1,2,4-Trichlorobenzene",,,2001-02-13
"1,2,4-Trichlorobenzene",,,2001-02-13
"1,2,4-Trichlorobenzene",,,2004-08-12
"1,2,4-Trichlorobenzene",,,2004-08-12
"1,2,4-Trichlorobenzene",,,2004-08-12
"1,2,4-Trichlorobenzene",,,2005-06-21
"1,2,4-Trichlorobenzene",,,2005-06-21
"1,2,4-Trichlorobenzene",,,2004-08-12
"1,2,4-Trichlorobenzene",,,2004-08-11
"1,2,4-Trichlorobenzene",,,2004-08-12
"1,2,4-Trichlorobenzene",,,2004-08-12
"1,2,4-Trichlorobenzene",,,2004-08-12
"1,2,4-Trichlorobenzene",,,2004-08-12
"1,2,4-Trichlorobenzene",,,2004-08-12
"1,2,4-Trichlorobenzene",,,2004-08-12
"1,2,4-Trichlorobenzene",,,2004-08-12
"1,2,4-Trichlorobenzene",,,2004-08-12
"1,2,4-Trichlorobenzene",,,2005-06-21
"1,2,4-Trichlorobenzene",,,2005-06-22
"1,2,4-Trichlorobenzene",,,2004-08-12
"1,2,4-Trichlorobenzene",,,2004-08-11
"1,2,4-Trichlorobenzene",,,2004-08-11
"1,2,4-Trichlorobenzene",,,2004-08-11
"1,2,4-Trichlorobenzene",,,2004-08-10
"1,2,4-Trichlorobenzene",,,2004-08-11
"1,2,4-Trichlorobenzene",,,2004-08-11
"1,2,4-Trichlorobenzene",,,2004-08-10
"1,2,4-Trichlorobenzene",,,2004-08-11
"1,2,4-Trichlorobenzene",,,2004-08-11
"1,2,4-Trichlorobenzene",,,2004-08-11
"1,2,4-Trichlorobenzene",,,2001-03-01
"1,2,4-Trichlorobenzene",,,2004-08-11
"1,2,4-Trichlorobenzene",,,2004-08-10
"1,2,4-Trimethylbenzene",,,2003-06-11
"1,2-Dibromo-3-chloropropane",,,2003-06-11
"1,2-Dichloroethane",,,2003-06-11
"1,2-Dichloroethane-d4",111,%,2003-06-11
"1,2-Dichloropropane",,,2003-06-11
"1,2-Dimethylnaphthalene",,,2005-06-22
"1,2-Dimethylnaphthalene",,,2005-06-22
"1,2-Dimethylnaphthalene",,,2005-06-22
"1,2-Dimethylnaphthalene",,,2005-06-21
"1,2-Dimethylnaphthalene",,,2005-06-22
"1,2-Dimethylnaphthalene",,,2005-06-21
"1,2-Dimethylnaphthalene",,,2004-08-12
"1,2-Dimethylnaphthalene",,,2001-02-13
"1,2-Dimethylnaphthalene",,,2001-02-13
"1,2-Dimethylnaphthalene",,,2001-02-13
"1,2-Dimethylnaphthalene",,,2001-02-13
"1,2-Dimethylnaphthalene",,,2001-02-13
"1,2-Dimethylnaphthalene",,,2001-02-13
"1,2-Dimethylnaphthalene",,,2004-08-12
"1,2-Dimethylnaphthalene",,,2004-08-12
"1,2-Dimethylnaphthalene",,,2004-08-12
"1,2-Dimethylnaphthalene",,,2005-06-21
"1,2-Dimethylnaphthalene",,,2005-06-21
"1,2-Dimethylnaphthalene",,,2004-08-12
"1,2-Dimethylnaphthalene",,,2004-08-11
"1,2-Dimethylnaphthalene",,,2004-08-12
"1,2-Dimethylnaphthalene",,,2004-08-12
"1,2-Dimethylnaphthalene",,,2004-08-12
"1,2-Dimethylnaphthalene",,,2004-08-12
"1,2-Dimethylnaphthalene",,,2004-08-12
"1,2-Dimethylnaphthalene",,,2004-08-12
"1,2-Dimethylnaphthalene",,,2004-08-12
"1,2-Dimethylnaphthalene",,,2004-08-12
"1,2-Dimethylnaphthalene",,,2005-06-21
"1,2-Dimethylnaphthalene",88,ug/kg,2005-06-22
"1,2-Dimethylnaphthalene",,,2004-08-12
"1,2-Dimethylnaphthalene",,,2004-08-11
"1,2-Dimethylnaphthalene",,,2004-08-11
"1,2-Dimethylnaphthalene",,,2004-08-11
"1,2-Dimethylnaphthalene",,,2004-08-10
"1,2-Dimethylnaphthalene",,,2004-08-11
"1,2-Dimethylnaphthalene",,,2004-08-11
"1,2-Dimethylnaphthalene",,,2004-08-10
"1,2-Dimethylnaphthalene",,,2004-08-11
"1,2-Dimethylnaphthalene",,,2004-08-11
"1,2-Dimethylnaphthalene",,,2004-08-11
"1,2-Dimethylnaphthalene",,,2001-03-01
"1,2-Dimethylnaphthalene",,,2004-08-11
"1,2-Dimethylnaphthalene",,,2004-08-10
"1,3,5-Trimethylbenzene",,,2003-06-11
"1,3-Dichloropropane",,,2003-06-11
"1,6-Dimethylnaphthalene",,,2005-06-22
"1,6-Dimethylnaphthalene",83,ug/kg,2005-06-22
